alignedWord,case,end,endOffset,start,startOffset,word
tonight,success,0.48,7,0.12,0,Tonight
a,success,0.7999999999999999,10,0.69,9,a
story,success,1.21,16,0.8,11,story
by,success,1.46,19,1.21,17,by
<unk>,success,2.17,33,1.48,29,Pohl
tunnel,success,3.69,41,3.19,35,Tunnel
under,success,4.04,47,3.74,42,Under
the,success,4.17,51,4.04,48,the
world,success,4.5,57,4.18,52,World
on,success,13.22,61,13.0,59,On
the,success,13.309999,65,13.219999,62,the
morning,success,13.719999,73,13.309999,66,morning
of,success,13.989999000000001,76,13.759999,74,of
june,success,14.290000000000001,81,13.99,77,June
fifteenth,success,14.949999,91,14.469999,82,fifteenth
guy,success,15.879999999999999,96,15.54,93,Guy
<unk>,success,16.109999,107,15.889999,97,Burckhardt
woke,success,17.059998999999998,112,16.929999,108,woke
up,success,17.39,115,17.23,113,up
screaming,success,18.47,125,17.830000000000002,116,screaming
it,success,20.93,129,20.91,127,It
was,success,22.66,133,22.42,130,was
more,success,23.02,138,22.66,134,more
real,success,23.45,143,23.02,139,real
than,success,23.599999999999998,148,23.45,144,than
any,success,23.82,152,23.6,149,any
dream,success,24.240000000000002,158,23.82,153,dream
he,success,24.35,161,24.25,159,he
had,success,24.48,165,24.45,162,had
ever,success,24.68,170,24.48,166,ever
had,success,24.93,174,24.68,171,had
in,success,25.03,177,24.93,175,in
his,success,25.18,181,25.03,178,his
life,success,25.47,186,25.18,182,life
he,success,26.4,190,26.27,188,He
could,success,26.58,196,26.4,191,could
still,success,26.97,202,26.58,197,still
hear,success,27.34,207,26.97,203,hear
and,success,27.54,211,27.34,208,and
feel,success,27.97,216,27.54,212,feel
that,success,28.169999,221,27.969999,217,that
sharp,success,28.579999,227,28.179999000000002,222,sharp
metal,success,29.240000000000002,233,28.630000000000003,228,metal
ripping,success,29.62,241,29.240000000000002,234,ripping
explosion,success,30.419999999999998,251,29.619999999999997,242,explosion
that,success,30.88,257,30.7,253,that
searing,success,31.649998999999998,265,31.059998999999998,258,searing
wave,success,32.12,270,31.66,266,wave
of,success,32.239999999999995,273,32.12,271,of
heat,success,32.47,278,32.24,274,heat
he,success,33.469999,282,33.339999,280,He
sat,success,33.729999,286,33.469999,283,sat
up,success,33.99,289,33.730000000000004,287,up
mary,success,34.50999899999999,295,34.209998999999996,291,Mary
mary,success,35.79,301,35.41,297,Mary
mary,success,37.18,307,36.82,303,Mary
where,success,37.97,314,37.81,309,where
are,success,38.13,318,37.97,315,are
you,success,38.15,322,38.13,319,you
guy,success,38.34,327,38.32,324,Guy
what's,success,39.7,335,39.39,329,what's
wrong,success,40.269999999999996,341,40.01,336,wrong
you're,success,40.56,349,40.28,343,You're
trembling,success,40.7,359,40.6,350,trembling
where,success,41.349999999999994,366,41.19,361,Where
were,success,41.52,371,41.35,367,were
