label,start,end
male,0.0,2.42
noEnergy,2.42,3.2
male,3.2,4.8
noEnergy,4.8,5.38
music,5.38,13.02
male,13.02,18.580000000000002
noise,18.580000000000002,22.1
male,22.1,34.46
noEnergy,34.46,35.42
male,35.42,35.800000000000004
noEnergy,35.800000000000004,36.84
male,36.84,38.56
female,38.56,41.1
male,41.1,41.92
female,41.92,43.6
noEnergy,43.6,44.64
male,44.64,47.02
female,47.02,49.36
noEnergy,49.36,49.76
female,49.76,51.04
noEnergy,51.04,51.78
female,51.78,52.06
noEnergy,52.06,52.52
female,52.52,56.34
noEnergy,56.34,57.26
male,57.26,58.04
noEnergy,58.04,59.2
male,59.2,62.160000000000004
female,62.160000000000004,66.82000000000001
music,66.82000000000001,78.54
male,78.54,90.66
noEnergy,90.66,91.18
male,91.18,94.3
noEnergy,94.3,95.2
female,95.2,97.74000000000001
male,97.74000000000001,99.34
noise,99.34,100.84
male,100.84,101.8
noEnergy,101.8,102.24000000000001
male,102.24000000000001,104.24000000000001
noEnergy,104.24000000000001,105.5
male,105.5,117.72
noise,117.72,121.92
music,121.92,124.94
male,124.94,134.1
music,134.1,135.58
female,135.58,137.24
male,137.24,141.62
noise,141.62,143.48
male,143.48,154.38
noise,154.38,158.36
noEnergy,158.36,163.82
female,163.82,165.82
noEnergy,165.82,166.32
male,166.32,168.26
female,168.26,170.42000000000002
male,170.42000000000002,171.92000000000002
noEnergy,171.92000000000002,172.76
female,172.76,178.54
noEnergy,178.54,178.94
male,178.94,179.4
noEnergy,179.4,180.06
male,180.06,182.32
female,182.32,184.18
noEnergy,184.18,184.98
male,184.98,186.12
noEnergy,186.12,186.70000000000002
female,186.70000000000002,187.18
noEnergy,187.18,188.18
male,188.18,189.3
noEnergy,189.3,190.08
female,190.08,191.46
male,191.46,192.18
noEnergy,192.18,192.64000000000001
female,192.64000000000001,193.6
noEnergy,193.6,194.18
male,194.18,196.3
noEnergy,196.3,197.12
male,197.12,199.66
noEnergy,199.66,200.06
female,200.06,201.78
noEnergy,201.78,203.88
male,203.88,204.94
noEnergy,204.94,205.64000000000001
male,205.64000000000001,208.54
noEnergy,208.54,209.0
music,209.0,215.34
male,215.34,225.16
noEnergy,225.16,226.94
female,226.94,228.08
noEnergy,228.08,228.48000000000002
male,228.48000000000002,230.04
noEnergy,230.04,230.44
female,230.44,231.18
noEnergy,231.18,232.0
female,232.0,232.78
noEnergy,232.78,233.84
female,233.84,236.28
noEnergy,236.28,236.88
male,236.88,238.24
noEnergy,238.24,238.94
noise,238.94,239.32
noEnergy,239.32,239.92000000000002
female,239.92000000000002,241.52
noEnergy,241.52,242.14000000000001
music,242.14000000000001,250.20000000000002
male,250.20000000000002,255.04
music,255.04,256.32
noEnergy,256.32,257.2
male,257.2,260.96
noise,260.96,263.5
female,263.5,265.98
noEnergy,265.98,267.08
male,267.08,268.28000000000003
noEnergy,268.28000000000003,268.72
male,268.72,269.26
noEnergy,269.26,269.74
male,269.74,271.04
female,271.04,273.18
noEnergy,273.18,274.22
female,274.22,275.52
male,275.52,276.84000000000003
noEnergy,276.84000000000003,277.72
male,277.72,279.3
noEnergy,279.3,279.88
male,279.88,280.72
noEnergy,280.72,281.28000000000003
male,281.28000000000003,282.84000000000003
noEnergy,282.84000000000003,283.34000000000003
female,283.34000000000003,284.5
noEnergy,284.5,285.44
male,285.44,287.56
female,287.56,291.40000000000003
male,291.40000000000003,292.48
female,292.48,297.84000000000003
noEnergy,297.84000000000003,298.28000000000003
male,298.28000000000003,299.28000000000003
noEnergy,299.28000000000003,300.66
male,300.66,302.48
female,302.48,308.22
noEnergy,308.22,309.46
male,309.46,312.1
noise,312.1,315.18
music,315.18,322.04
male,322.04,323.42
noEnergy,323.42,323.82
music,323.82,328.3
female,328.3,330.82
male,330.82,337.12
noEnergy,337.12,338.78000000000003
noise,338.78000000000003,339.64
male,339.64,347.40000000000003
noise,347.40000000000003,354.04
male,354.04,359.74
noise,359.74,360.86
music,360.86,368.90000000000003
male,368.90000000000003,374.90000000000003
music,374.90000000000003,376.3
male,376.3,380.12
noEnergy,380.12,381.06
female,381.06,381.72
male,381.72,384.0
noEnergy,384.0,384.74
male,384.74,396.16
music,396.16,398.04
male,398.04,403.38
noise,403.38,404.72
noEnergy,404.72,406.56
male,406.56,410.08
noEnergy,410.08,410.96000000000004
noise,410.96000000000004,411.64
noEnergy,411.64,412.2
noise,412.2,412.64
noEnergy,412.64,413.82
female,413.82,415.74
male,415.74,417.36
female,417.36,420.02
male,420.02,424.46000000000004
female,424.46000000000004,425.98
male,425.98,438.84000000000003
female,438.84000000000003,442.52
male,442.52,445.48
female,445.48,450.08
male,450.08,453.02
music,453.02,460.38
male,460.38,468.02
female,468.02,469.46000000000004
male,469.46000000000004,492.76
music,492.76,494.24
male,494.24,501.66
noise,501.66,505.28000000000003
male,505.28000000000003,506.0
noEnergy,506.0,506.7
male,506.7,508.62
noEnergy,508.62,509.24
male,509.24,509.66
noEnergy,509.66,510.38
male,510.38,512.94
noEnergy,512.94,513.74
male,513.74,515.6
noEnergy,515.6,516.22
male,516.22,520.24
noise,520.24,525.0
male,525.0,526.0
noEnergy,526.0,526.64
noise,526.64,529.34
male,529.34,531.16
noEnergy,531.16,532.12
male,532.12,534.14
noEnergy,534.14,535.1
male,535.1,536.0600000000001
noEnergy,536.0600000000001,537.52
male,537.52,538.0600000000001
noise,538.0600000000001,539.08
male,539.08,539.7
noEnergy,539.7,540.4
noise,540.4,540.74
noEnergy,540.74,542.1
noise,542.1,543.5
noEnergy,543.5,545.26
noise,545.26,545.6800000000001
noEnergy,545.6800000000001,547.0
female,547.0,548.46
male,548.46,551.78
female,551.78,553.38
noEnergy,553.38,554.4
female,554.4,561.62
noEnergy,561.62,562.52
male,562.52,564.7
noEnergy,564.7,565.6800000000001
female,565.6800000000001,567.52
noEnergy,567.52,569.0600000000001
female,569.0600000000001,571.0600000000001
noEnergy,571.0600000000001,572.72
female,572.72,574.96
noEnergy,574.96,575.8000000000001
male,575.8000000000001,576.46
female,576.46,580.98
noEnergy,580.98,582.02
female,582.02,582.38
noEnergy,582.38,583.1800000000001
female,583.1800000000001,583.92
noEnergy,583.92,584.8000000000001
female,584.8000000000001,586.46
noEnergy,586.46,587.76
male,587.76,588.7
noEnergy,588.7,589.42
male,589.42,592.44
noEnergy,592.44,593.2
female,593.2,595.2
noEnergy,595.2,596.98
male,596.98,597.94
female,597.94,605.58
noEnergy,605.58,606.44
female,606.44,608.98
noEnergy,608.98,610.74
music,610.74,611.5
noEnergy,611.5,612.42
male,612.42,613.0600000000001
noEnergy,613.0600000000001,613.74
male,613.74,614.04
noEnergy,614.04,615.0
male,615.0,616.52
noEnergy,616.52,617.22
female,617.22,618.64
noEnergy,618.64,619.62
male,619.62,620.02
noEnergy,620.02,622.0
male,622.0,624.6
noEnergy,624.6,625.1800000000001
female,625.1800000000001,626.44
music,626.44,641.6
male,641.6,652.22
noEnergy,652.22,652.64
noise,652.64,653.84
female,653.84,654.98
male,654.98,656.58
female,656.58,657.48
noEnergy,657.48,658.04
male,658.04,658.76
female,658.76,665.26
noEnergy,665.26,665.86
female,665.86,671.32
noEnergy,671.32,672.34
noise,672.34,673.1
noEnergy,673.1,674.26
noise,674.26,674.84
noEnergy,674.84,676.46
music,676.46,683.98
noise,683.98,686.02
noEnergy,686.02,687.94
male,687.94,688.38
noEnergy,688.38,688.92
male,688.92,689.28
noEnergy,689.28,689.6800000000001
male,689.6800000000001,692.52
noise,692.52,693.36
noEnergy,693.36,695.08
female,695.08,695.6
noEnergy,695.6,696.24
male,696.24,697.24
noEnergy,697.24,698.14
male,698.14,702.14
noEnergy,702.14,702.8000000000001
male,702.8000000000001,703.16
noEnergy,703.16,703.86
male,703.86,704.72
noEnergy,704.72,706.1800000000001
female,706.1800000000001,706.54
noEnergy,706.54,707.42
male,707.42,708.02
noEnergy,708.02,709.04
female,709.04,709.92
noEnergy,709.92,710.58
female,710.58,711.52
noEnergy,711.52,712.28
female,712.28,713.78
noEnergy,713.78,714.7
female,714.7,716.6800000000001
noEnergy,716.6800000000001,717.78
female,717.78,718.38
noise,718.38,721.14
noEnergy,721.14,722.58
female,722.58,723.44
noEnergy,723.44,724.02
female,724.02,724.46
noEnergy,724.46,725.28
male,725.28,726.2
noise,726.2,728.88
male,728.88,729.6800000000001
noEnergy,729.6800000000001,730.36
male,730.36,731.52
female,731.52,734.44
male,734.44,738.12
female,738.12,741.0600000000001
male,741.0600000000001,742.5600000000001
female,742.5600000000001,743.86
male,743.86,744.6
noEnergy,744.6,745.54
male,745.54,747.38
music,747.38,755.08
male,755.08,758.22
noEnergy,758.22,758.82
music,758.82,759.62
